day	e_id
1	
2	a-turkmenistan
3	
4	
5	
6	a-tonga
7	a-grenada
8	
9	a-bolivia
10	a-switzerland
11	a-turkey
12	a-denmark
13	
14	
15	a-guyana
16	a-palau
17	a-chad
18	
19	a-macedonia
20	a-bhutan
21	a-sanmarino_r
22	
23	a-portugal
24	
25	a-jordan
26	a-redcr
27	a-eu
28	a-guinea_b
29	a-bangladesh
30	a-chile
31	a-korea
32	a-sweden
33	
34	a-spain
35	a-canada
36	a-bulgaria
37	a-paraguay
38	a-latvia
39	a-netherlands
40	a-uk
41	a-austria
42	a-hungary
43	a-tanzania
44	a-montenegro
45	a-indonesia
46	a-yemen
47	a-iceland
48	a-luxembourg
49	a-nepal
50	a-plo
51	a-norway
52	a-eswatini
53	a-s_sudan
54	a-azerbaijan
55	a-kyrgyz
56	a-philippines
57	a-samoa
58	
59	a-guinea
60	a-kosovo
61	a-finland
62	a-cote_d
63	a-ireland
64	a-brundi
65	a-mozambique
66	a-uruguay
67	a-malawi
68	a-kuwait
69	a-germany
70	a-brazil
71	a-suriname
72	a-isa
73	a-kenya
74	a-nigeria
75	a-romania
76	a-tajikistan
77	a-monaco
78	a-vatican
79	a-congomin
80	a-lesotho
81	
82	a-japan
83	a-rwanda
84	a-cambodia
85	a-lithuania
86	a-zambia
87	a-qatar
88	a-laos
89	a-algeria
90	a-china
91	a-mauritania
92	a-iter
93	a-mauritius
94	a-eq_guinea
95	a-zimbabwe
96	a-malta
97	
98	a-usa
99	a-colombia
100	a-png
101	a-tuvalu
102	a-egypt
103	a-czech
104	a-cuba
105	a-gabon
106	a-mongolia
107	
108	a-angola
109	a-vanuatu
110	a-micronesia
111	a-car
112	a-mali
113	a-belize
114	a-burkina
115	a-ukraine
116	a-jamaica
117	
118	a-asean
119	a-peru
120	a-kazakhstan
121	a-trinidad
122	a-comoros
123	a-tunisia
124	a-pakistan
125	a-india
126	a-nauru
127	
128	
129	a-gambia
130	a-scn
131	a-togo
132	a-un
133	a-dominican_r
134	a-singapore
135	a-senegal
136	a-liberia
137	a-istc
138	a-easttimor
139	a-benin
140	a-s_lucia
141	a-moldova
142	a-uzbekistan
143	a-sudan
144	a-australia
145	a-marshall
146	a-armenia
147	a-panama
148	a-seychelles
149	a-malaysia
150	a-vietnam
151	a-slovak
152	a-ghana
153	a-italy
154	a-france
155	a-belgium
156	a-serbia
157	a-cameroon
158	a-barbados
159	a-bahrain
160	a-uae
161	a-oman
162	a-croatia
163	
164	a-saudi
165	a-svg
166	a-fiji
167	a-slovenia
168	a-srilanka
169	a-antigua
170	a-stp
171	a-madagascar
172	a-poland
173	a-solomon
174	a-ethiopia
175	a-somali
176	a-djibouti
177	a-uganda
178	
179	
180	a-honduras
181	a-capeverde
182	a-haiti
183	
184	
