id	lng	lat
C01	135.3859727	34.6505735
C02	135.3855906	34.6506862
C03	135.3852131	34.650824
C04	135.3848792	34.6509467
C05	135.3847732	34.651282
C07	135.3842828	34.6509579
C10	135.3838023	34.6513006
C11	135.3836147	34.6515169
C12	135.3833098	34.6512689
C13	135.3830132	34.6511251
C14	135.3826775	34.6511029
C15	135.3823571	34.6510401
C16	135.3820066	34.6510458
C17	135.381738	34.6509707
C18	135.3813366	34.6509129
C19	135.3810838	34.6505255
C20	135.3844884	34.6520849
C21	135.3808699	34.6513907
C22	135.3795961	34.6486063
C23	135.382061	34.6503825
E01	135.3867337	34.6509821
E02	135.3873033	34.6509057
E03	135.3877814	34.650494
E04	135.3877086	34.6498649
E05	135.3894278	34.6490713
E06	135.3889277	34.6489093
E07	135.3880141	34.649341
E08	135.3875278	34.6492273
E09	135.3877701	34.6488207
E10	135.3878104	34.6482771
E11	135.3878006	34.6475044
E12	135.3870022	34.6472792
L01	135.3765613	34.6542565
L05	135.3762441	34.6546972
L06	135.374891	34.6521541
L08	135.3744458	34.6525855
P01	135.386275	34.6501448
P02	135.3858638	34.6501886
P03	135.385001	34.6501545
P04	135.3842922	34.6506285
P05	135.3851332	34.6473754
P06	135.3815819	34.6505038
P07	135.381454	34.6505107
P08	135.3813224	34.6505177
P09	135.3855176	34.649595
P11	135.3854832	34.6493212
P12	135.3854612	34.6489669
P17	135.3861461	34.6484867
P18	135.3860965	34.6481138
P19	135.3859083	34.6479044
P20	135.3857694	34.647508
P21	135.385518	34.6477267
P22	135.3853785	34.6478983
P23	135.3852341	34.6480748
P26	135.3847452	34.6485192
P27	135.3845285	34.6487058
P28	135.3842316	34.6488548
P34	135.3845993	34.6475658
P35	135.3844332	34.6474692
P36	135.384179	34.6474851
P37	135.3839018	34.647531
P38	135.3836603	34.6475868
S01	135.3820458	34.6498133
S02	135.3851529	34.6495761
S03	135.3850437	34.6495575
S04	135.3849406	34.6495399
S05	135.384729	34.6495035
S06	135.3848387	34.6495222
S07	135.3809247	34.6498837
S08	135.3806873	34.6499446
S09	135.380851	34.6495723
S11	135.3804459	34.6490897
S12	135.3804755	34.6489134
S13	135.3804759	34.6487577
S14	135.3812049	34.6490275
S15	135.381644	34.6490773
S16	135.3819228	34.6491323
S17	135.3821685	34.6490755
S20	135.3818792	34.6483694
S21	135.3813973	34.6483576
S22	135.3815977	34.6481549
S23	135.3820563	34.6479911
W01	135.38334	34.6523774
W02	135.3824128	34.6522881
W03	135.3821125	34.6521494
W04	135.3816499	34.6520112
W05	135.3813182	34.6517654
W06	135.3804856	34.6512903
W07	135.3799766	34.6513123
W08	135.3800657	34.6505447
W09	135.3792322	34.649997
W10	135.3797753	34.6501276
W11	135.3792064	34.6492056
X01	135.383736	34.6491805
X02	135.3837525	34.6485353
X03	135.383564	34.6480116
X04	135.3833307	34.6476436
X05	135.3825801	34.6479028
X06	135.3826168	34.6482676
X07	135.3827749	34.6489235
X08	135.3829469	34.6490122
WC01	135.3810545	34.6498524
WC02	135.3811817	34.6498218
WC03	135.3813077	34.6497909
WC04	135.3814342	34.6497599
WC05	135.3815628	34.6497282
WC06	135.3809572	34.6482963
WC07	135.383019	34.6475018
WC08	135.3827033	34.6475841
